root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,epoxy.items.cavity,epoxy.items.ct,epoxy.items.degas_machine_id,epoxy.items.epoxy_batch1,epoxy.items.epoxy_batch2,epoxy.items.epoxy_batch3,epoxy.items.epoxy_batch4,epoxy.items.epoxy_pressure1,epoxy.items.epoxy_pressure2,epoxy.items.station_id
wip_id,F9F237406LJ1Y82A6,2022-09-06 17:51:25,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.51,3,389725,,,,14.89,15.17,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237404P51Y82AC,2022-09-06 17:51:29,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.71,5,383193,,,,16.71,16.82,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374061D1Y82A0,2022-09-06 17:51:35,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.26,2,393827,,,,15.31,15.87,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237409FD1Y82AP,2022-09-06 17:51:40,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.45,5,383193,,,,11.34,11.24,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237404B61Y82AD,2022-09-06 17:51:43,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.71,3,389725,,,,13.65,13.60,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237407961Y82AG,2022-09-06 17:51:46,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.24,2,393827,,,,16.98,17.15,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F2374036H1Y82AJ,2022-09-06 17:51:52,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.13,3,389725,,,,17.58,17.51,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237404PW1Y82AM,2022-09-06 17:51:55,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.35,5,383193,,,,13.04,13.07,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374089D1Y82A8,2022-09-06 17:52:01,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.37,2,393827,,,,16.61,16.06,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23740AG51Y82AT,2022-09-06 17:52:03,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.22,5,383193,,,,12.20,12.13,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237404EJ1Y82AS,2022-09-06 17:52:03,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.64,2,393827,,,,18.54,18.50,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237403SD1Y82AW,2022-09-06 17:52:08,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.47,3,389725,,,,14.89,15.17,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237403PQ1Y82AU,2022-09-06 17:52:10,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.90,3,389725,,,,12.53,12.37,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237404NV1Y82AR,2022-09-06 17:52:11,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.72,5,383193,,,,16.68,16.79,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374089K1Y82A2,2022-09-06 17:52:16,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.32,2,393827,,,,15.28,15.82,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23740AWP1Y82A1,2022-09-06 17:52:22,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.41,5,383193,,,,11.34,11.24,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F23740EBD1Y82AW,2022-09-06 17:52:28,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.43,2,393827,,,,16.93,17.11,LFDG_MEG3_OQC1_02_EPOXY
extrusion_id,EWB23274BFEAA125T,2022-09-06 17:52:34,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.14,3,389725,,,,17.66,17.58,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237405ER1Y82AJ,2022-09-06 17:52:36,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.30,5,383193,,,,13.06,13.10,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374089R1Y82AW,2022-09-06 17:52:42,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.36,2,393827,,,,16.53,16.53,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237407HY1Y82A0,2022-09-06 17:52:44,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.91,3,389725,,,,13.77,13.70,LFDG_MEG3_OQC1_03_EPOXY
extrusion_id,EWB23324ZAWAA1256,2022-09-06 17:52:44,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.73,2,393827,,,,18.41,18.38,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F23740B1E1Y82AU,2022-09-06 17:52:46,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.27,5,383193,,,,12.19,12.11,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F23740EB41Y82A5,2022-09-06 17:52:50,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.43,3,389725,,,,14.89,15.16,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237405HN1Y82AC,2022-09-06 17:52:52,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.69,5,383193,,,,16.68,16.79,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374061L1Y82AT,2022-09-06 17:52:57,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.26,2,393827,,,,15.28,15.82,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F2374046T1Y82A7,2022-09-06 17:53:00,passed,,Ramp,Everwin,TI,N199,Baoti,A2,33.06,3,389725,,,,12.53,12.37,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F2374074C1Y82AR,2022-09-06 17:53:04,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.48,5,383193,,,,11.32,11.23,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237404BX1Y82AN,2022-09-06 17:53:09,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.39,2,393827,,,,16.89,17.06,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F23740ENY1Y82AC,2022-09-06 17:53:17,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.09,3,389725,,,,17.65,17.61,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F23740BYW1Y82AM,2022-09-06 17:53:17,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.33,5,383193,,,,13.10,13.13,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F237406K91Y82AJ,2022-09-06 17:53:22,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.37,2,393827,,,,16.56,16.58,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237404DG1Y82AX,2022-09-06 17:53:25,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.72,2,393827,,,,18.41,18.37,LFDG_MEG3_OQC1_02_EPOXY
