root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,fg-bc-le.items.fg_sn,fg-bc-le.items.station_id,fg-bc-le.items.wip_sn
wip_id,F9F234402HQ1Y82AN,2022-09-06 19:42:13,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WZ24GQ4F,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F234402HQ1Y82AN
wip_id,F9F23240BY11Y82AX,2022-09-06 19:42:14,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303X024GQ4B,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F23240BY11Y82AX
wip_id,F9F23460GDB1Y82AX,2022-09-06 19:42:17,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303X124GQ4A,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F23460GDB1Y82AX
wip_id,F9F234700211Y82AM,2022-09-06 19:42:17,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303X224GQ49,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F234700211Y82AM
wip_id,F9F23470AR31Y82A8,2022-09-06 19:42:28,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303X424GQ47,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23470AR31Y82A8
wip_id,F9F233707U31Y82A5,2022-09-06 19:42:29,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303X524GQ46,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F233707U31Y82A5
wip_id,F9F234405TR1Y82AN,2022-09-06 19:42:34,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303X624GQ45,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F234405TR1Y82AN
wip_id,F9F2344016H1Y82AV,2022-09-06 19:42:36,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303X724GQ44,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F2344016H1Y82AV
wip_id,F9F2346084B1Y82AY,2022-09-06 19:42:37,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303X824GQ43,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F2346084B1Y82AY
wip_id,F9F2345025P1Y82AQ,2022-09-06 19:42:40,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303X924GQ42,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F2345025P1Y82AQ
wip_id,F9F23520AMN1Y82A3,2022-09-06 19:42:41,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XA24GQ41,LFDG_KY-7D2F-OQC1_07_FG-BC-LE,F9F23520AMN1Y82A3
wip_id,F9F235203VJ1Y82AQ,2022-09-06 19:42:41,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XB24GQ40,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F235203VJ1Y82AQ
wip_id,F9F23370AA21Y82AP,2022-09-06 19:42:48,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XC24GQ4Z,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F23370AA21Y82AP
wip_id,F9F234305LU1Y82A7,2022-09-06 19:42:50,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XD24GQ4Y,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F234305LU1Y82A7
wip_id,F9F23460CJY1Y82AZ,2022-09-06 19:42:52,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XE24GQ4X,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F23460CJY1Y82AZ
wip_id,F9F231700A71Y82A0,2022-09-06 19:42:53,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XF24GQ4W,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F231700A71Y82A0
wip_id,F9F23470DCQ1Y82AP,2022-09-06 19:42:54,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XG24GQ4V,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F23470DCQ1Y82AP
wip_id,F9F234704GK1Y82AR,2022-09-06 19:42:57,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XH24GQ4U,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F234704GK1Y82AR
wip_id,F9F234305TU1Y82AL,2022-09-06 19:43:01,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XJ24GQ4T,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F234305TU1Y82AL
wip_id,F9F23470CG61Y82AW,2022-09-06 19:43:01,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XK24GQ4S,LFDG_KY-7D2F-OQC1_07_FG-BC-LE,F9F23470CG61Y82AW
wip_id,F9F2342027U1Y82AG,2022-09-06 19:43:03,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XL24GQ4R,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F2342027U1Y82AG
wip_id,F9F234205A01Y82AY,2022-09-06 19:43:08,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XM24GQ4Q,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F234205A01Y82AY
wip_id,F9F23440FQ21Y82AA,2022-09-06 19:43:11,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XN24GQ4P,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23440FQ21Y82AA
wip_id,F9F234706XP1Y82A8,2022-09-06 19:43:11,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XP24GQ4N,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234706XP1Y82A8
wip_id,F9F23450E0H1Y82AZ,2022-09-06 19:43:13,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XQ24GQ4M,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F23450E0H1Y82AZ
wip_id,F9F23440EQN1Y82AR,2022-09-06 19:43:13,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XR24GQ4L,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F23440EQN1Y82AR
wip_id,F9F23460GA61Y82AB,2022-09-06 19:43:16,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XS24GQ4K,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F23460GA61Y82AB
wip_id,F9F23260AKA1Y82AS,2022-09-06 19:43:22,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XT24GQ4J,LFDG_KY-7D2F-OQC1_07_FG-BC-LE,F9F23260AKA1Y82AS
wip_id,F9F23450HXT1Y82AV,2022-09-06 19:43:23,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XU24GQ4H,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F23450HXT1Y82AV
wip_id,F9F23420LDR1Y82AH,2022-09-06 19:43:28,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XW24GQ4F,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F23420LDR1Y82AH
wip_id,F9F23420K6C1Y82AJ,2022-09-06 19:43:28,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XV24GQ4G,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F23420K6C1Y82AJ
wip_id,F9F234504CR1Y82AZ,2022-09-06 19:43:30,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XY24GQ4D,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234504CR1Y82AZ
wip_id,F9F235101Z61Y82AT,2022-09-06 19:43:31,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303XX24GQ4E,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F235101Z61Y82AT
wip_id,F9F234407M71Y82AN,2022-09-06 19:43:33,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303XZ24GQ4C,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F234407M71Y82AN
wip_id,F9F23420K791Y82AJ,2022-09-06 19:43:35,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303Y124GQ47,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F23420K791Y82AJ
wip_id,F9F23450HEX1Y82A8,2022-09-06 19:43:35,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303Y024GQ48,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F23450HEX1Y82A8
wip_id,F9F2344017G1Y82AT,2022-09-06 19:43:43,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303Y224GQ46,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F2344017G1Y82AT
